Alpha	Linewidth-dB[T]	Resonance-field[T]	Amplitude[Arb.Units]	Slope	Offset	Angle[Degree]
0.02031462726680086	0.03207555045433439	0.08712459882282754	7.372178046396995	-4.9999999999561755	3.356808370569727	0.0
0.02025579043798096	0.032157493661420726	0.08751263916385767	7.221937793338488	-4.999978561698882	3.358465097683169	0.5
0.02050143341562986	0.03226033360482986	0.08785195899955463	7.0558590521036555	-4.999999997193193	3.357201357510661	1.0
0.02050143341562986	0.03226033360482986	0.08785195899955463	7.0558590521036555	-4.999999997193193	3.357201357510661	1.5
0.020611801349235216	0.03234675287929191	0.08846634008294803	6.791601555805657	-4.999999996449468	3.36237898897266	2.0
0.020611801349235216	0.03234675287929191	0.08846634008294803	6.791601555805657	-4.999999996449468	3.36237898897266	2.5
0.02050116818800935	0.032473819105277836	0.08902037477127307	6.578452395702386	-4.999999998328464	3.3736108153819124	3.0
0.02050116818800935	0.032473819105277836	0.08902037477127307	6.578452395702386	-4.999999998328464	3.3736108153819124	3.5
0.02050116818800935	0.032473819105277836	0.08902037477127307	6.578452395702386	-4.999999998328464	3.3736108153819124	4.0
0.02050116818800935	0.032473819105277836	0.08902037477127307	6.578452395702386	-4.999999998328464	3.3736108153819124	4.5
0.02050116818800935	0.032473819105277836	0.08902037477127307	6.578452395702386	-4.999999998328464	3.3736108153819124	5.0
0.020312824187765283	0.03265046854242994	0.08969544277756389	6.28461530739611	-4.999999998355202	3.37170267515595	5.5
0.020312824187765283	0.03265046854242994	0.08969544277756389	6.28461530739611	-4.999999998355202	3.37170267515595	6.0
0.020312824187765283	0.03265046854242994	0.08969544277756389	6.28461530739611	-4.999999998355202	3.37170267515595	6.5
0.020312824187765283	0.03265046854242994	0.08969544277756389	6.28461530739611	-4.999999998355202	3.37170267515595	7.0
0.020312824187765283	0.03265046854242994	0.08969544277756389	6.28461530739611	-4.999999998355202	3.37170267515595	7.5
0.020312824187765283	0.03265046854242994	0.08969544277756389	6.28461530739611	-4.999999998355202	3.37170267515595	8.0
0.020312824187765283	0.03265046854242994	0.08969544277756389	6.28461530739611	-4.999999998355202	3.37170267515595	8.5
0.020312824187765283	0.03265046854242994	0.08969544277756389	6.28461530739611	-4.999999998355202	3.37170267515595	9.0
0.020312824187765283	0.03265046854242994	0.08969544277756389	6.28461530739611	-4.999999998355202	3.37170267515595	9.5
0.020312824187765283	0.03265046854242994	0.08969544277756389	6.28461530739611	-4.999999998355202	3.37170267515595	10.0
0.020312824187765283	0.03265046854242994	0.08969544277756389	6.28461530739611	-4.999999998355202	3.37170267515595	10.5
0.017974880054955112	0.03255366523908637	0.08869288911669744	6.591777374229039	-4.999999990273069	3.488751155597777	11.0
0.017974880054955112	0.03255366523908637	0.08869288911669744	6.591777374229039	-4.999999990273069	3.488751155597777	11.5
0.017226195334363686	0.03237235805179784	0.08812816352745238	6.7929466457696694	-4.999999999178467	3.5147085975419667	12.0
0.017226195334363686	0.03237235805179784	0.08812816352745238	6.7929466457696694	-4.999999999178467	3.5147085975419667	13.0
0.017226195334363686	0.03237235805179784	0.08812816352745238	6.7929466457696694	-4.999999999178467	3.5147085975419667	14.0
0.014907089729155144	0.031779221159326076	0.0856474579311023	7.628010368594843	-4.999999893178629	3.526213896686084	15.0
0.014907089729155144	0.031779221159326076	0.0856474579311023	7.628010368594843	-4.999999893178629	3.526213896686084	15.5
0.014133920323424698	0.03139601117292538	0.08461185810577539	7.937599675361175	-4.999999988027861	3.5492381870104897	16.0
0.014133920323424698	0.03139601117292538	0.08461185810577539	7.937599675361175	-4.999999988027861	3.5492381870104897	16.5
0.013320985759769033	0.03110041982601629	0.08354989601159277	8.272819864007744	-4.999999987464533	3.555143192802314	17.0
0.012862577800394648	0.030920192512297166	0.08297245771136194	8.457124885993945	-4.999999987089766	3.578025878275417	17.5
0.012862577800394648	0.030920192512297166	0.08297245771136194	8.457124885993945	-4.999999987089766	3.578025878275417	18.0
0.012862577800394648	0.030920192512297166	0.08297245771136194	8.457124885993945	-4.999999987089766	3.578025878275417	18.5
0.011807318497949205	0.03050303194450791	0.08108578797052386	9.027346300510866	-4.999999999905061	3.614267369058112	19.0
0.011709758420524735	0.030360120399226236	0.0803981747358994	9.195927350403718	-4.99999999823147	3.6078085856775424	19.5
0.011709758420524735	0.030360120399226236	0.0803981747358994	9.195927350403718	-4.99999999823147	3.6078085856775424	20.0
0.011100820551250584	0.030289133847561368	0.0790764748443565	9.55208099411539	-4.999999975265716	3.662496356957451	20.5
0.010865043120248231	0.030178725920143725	0.07767699579350386	9.789516592180721	-4.999999998328345	3.6571388335628026	21.5
0.010677504646767769	0.03006967896824388	0.07695066088792077	10.111492857058762	-4.999999994751189	3.673346669993169	22.0
0.010677504646767769	0.03006967896824388	0.07695066088792077	10.111492857058762	-4.999999994751189	3.673346669993169	22.5
0.010619964481085457	0.02973504173357274	0.07554075905329342	10.4137687637035	-4.999999806045523	3.645240687784959	23.0
0.010619964481085457	0.02973504173357274	0.07554075905329342	10.4137687637035	-4.999999806045523	3.645240687784959	23.5
0.010544198089744786	0.029599101554183556	0.07409971508600396	10.69963559215728	-4.999999999614349	3.6293582778870643	24.0
0.010544198089744786	0.029599101554183556	0.07409971508600396	10.69963559215728	-4.999999999614349	3.6293582778870643	24.5
0.01039234181283946	0.02954577301559999	0.07270142730197472	10.96706982251912	-4.99999877103982	3.6193722098250394	25.0
0.010433669988897845	0.029510327920319077	0.07199892315607204	11.083160082330632	-4.999999999481678	3.6132140915919546	25.5
